
北京联通组播,#genre#

北京卫视,http://webmail.axxe.top:4022/udp/239.3.1.241:8000
北京影视,http://webmail.axxe.top:4022/udp/239.3.1.158:8000
北京文艺,http://webmail.axxe.top:4022/udp/239.3.1.242:8000
北京财经,http://webmail.axxe.top:4022/udp/239.3.1.116:8000
北京生活,http://webmail.axxe.top:4022/udp/239.3.1.117:8000
纪实科教,http://webmail.axxe.top:4022/udp/239.3.1.115:8000
卡酷少儿,http://webmail.axxe.top:4022/udp/239.3.1.189:8000
CCTV-1,http://webmail.axxe.top:4022/udp/239.3.1.129:8008
CCTV-2,http://webmail.axxe.top:4022/udp/239.3.1.60:8084
CCTV-3,http://webmail.axxe.top:4022/udp/239.3.1.172:8001
CCTV-4,http://webmail.axxe.top:4022/udp/239.3.1.105:8092
CCTV-5,http://webmail.axxe.top:4022/udp/239.3.1.173:8001
CCTV-5+,http://webmail.axxe.top:4022/udp/239.3.1.130:8004
CCTV-6,http://webmail.axxe.top:4022/udp/239.3.1.174:8001
CCTV-7,http://webmail.axxe.top:4022/udp/239.3.1.61:8104
CCTV-8,http://webmail.axxe.top:4022/udp/239.3.1.175:8001
CCTV-9,http://webmail.axxe.top:4022/udp/239.3.1.62:8112
CCTV-10,http://webmail.axxe.top:4022/udp/239.3.1.63:8116
CCTV-11,http://webmail.axxe.top:4022/udp/239.3.1.152:8120
CCTV-12,http://webmail.axxe.top:4022/udp/239.3.1.64:8124
CCTV-13,http://webmail.axxe.top:4022/udp/239.3.1.124:8128
CCTV-14,http://webmail.axxe.top:4022/udp/239.3.1.65:8132
CCTV-15,http://webmail.axxe.top:4022/udp/239.3.1.153:8136
CCTV16,http://office365.myddns.me:8686/udp/225.1.2.237:5002
CCTV-17,http://webmail.axxe.top:4022/udp/239.3.1.151:8144
CCTV-4K,http://webmail.axxe.top:4022/udp/239.3.1.245:2000
爱上4K,http://webmail.axxe.top:4022/udp/239.3.1.236:2000
4K超清,http://webmail.axxe.top:4022/udp/239.3.1.249:8001
金鹰纪实,http://webmail.axxe.top:4022/udp/239.3.1.58:8156
淘电影,http://webmail.axxe.top:4022/udp/239.3.1.250:8001
淘剧场http://webmail.axxe.top:4022/udp/239.3.1.95:8001
淘娱乐,http://webmail.axxe.top:4022/udp/239.3.1.100:8001
淘精彩,http://webmail.axxe.top:4022/udp/239.3.1.178:8001
淘BABY,http://webmail.axxe.top:4022/udp/239.3.1.238:8001
萌宠TV,http://webmail.axxe.top:4022/udp/239.3.1.102:8001
湖南卫视,http://webmail.axxe.top:4022/udp/239.3.1.132:8012
东方卫视,http://webmail.axxe.top:4022/udp/239.3.1.136:8032
浙江卫视,http://webmail.axxe.top:4022/udp/239.3.1.137:8036
江苏卫视,http://webmail.axxe.top:4022/udp/239.3.1.135:8028
深圳卫视,http://webmail.axxe.top:4022/udp/239.3.1.134:8020
广东卫视,http://webmail.axxe.top:4022/udp/239.3.1.142:8048
安徽卫视,http://webmail.axxe.top:4022/udp/239.3.1.211:8064
天津卫视,http://webmail.axxe.top:4022/udp/239.3.1.141:1234
重庆卫视,http://webmail.axxe.top:4022/udp/239.3.1.122:8160
山东卫视,http://webmail.axxe.top:4022/udp/239.3.1.209:8052
黑龙江卫视,http://webmail.axxe.top:4022/udp/239.3.1.133:8016
河北卫视,http://webmail.axxe.top:4022/udp/239.3.1.148:8072
辽宁卫视,http://webmail.axxe.top:4022/udp/239.3.1.210:8056
湖北卫视,http://webmail.axxe.top:4022/udp/239.3.1.138:8044
吉林卫视,http://webmail.axxe.top:4022/udp/239.3.1.240:8172
贵州卫视,http://webmail.axxe.top:4022/udp/239.3.1.149:8076
东南卫视,http://webmail.axxe.top:4022/udp/239.3.1.156:8148
江西卫视,http://webmail.axxe.top:4022/udp/239.3.1.123:8164
中国交通,http://webmail.axxe.top:4022/udp/239.3.1.188:8001
睛彩竞技,http://webmail.axxe.top:4022/udp/239.3.1.125:8001
睛彩篮球,http://webmail.axxe.top:4022/udp/239.3.1.126:8001
睛彩羽毛球,http://webmail.axxe.top:4022/udp/239.3.1.127:8001
睛彩广场舞,http://webmail.axxe.top:4022/udp/239.3.1.128:8001
茶频道,http://webmail.axxe.top:4022/udp/239.3.1.165:8001
快乐垂钓,http://webmail.axxe.top:4022/udp/239.3.1.164:8001
大健康,http://webmail.axxe.top:4022/udp/239.3.1.251:8001
CETV1,http://webmail.axxe.top:4022/udp/239.3.1.57:8152

湖北组播,#genre#

CCTV1,http://www.furymax.top:85/rtp/239.254.96.96:8550
CCTV2,http://www.furymax.top:85/rtp/239.69.1.102:10250
CCTV3,http://www.furymax.top:85/rtp/239.69.1.122:10370
CCTV4,http://www.furymax.top:85/rtp/239.69.1.138:10466
CCTV5,http://www.furymax.top:85/rtp/239.69.1.123:10376
CCTV5+,http://www.furymax.top:85/rtp/239.254.96.234:9484
CCTV6,http://www.furymax.top:85/rtp/239.69.1.124:10382
CCTV7,http://www.furymax.top:85/rtp/239.69.1.103:10256
CCTV8,http://www.furymax.top:85/rtp/239.69.1.125:10388
CCTV9,http://www.furymax.top:85/rtp/239.69.1.104:10262
CCTV10,http://www.furymax.top:85/rtp/239.69.1.105:10268
CCTV11,http://www.furymax.top:85/rtp/239.69.1.154:10560
CCTV12,http://www.furymax.top:85/rtp/239.69.1.106:10274
CCTV13,http://www.furymax.top:85/rtp/239.254.96.161:9040
CCTV14,http://www.furymax.top:85/rtp/239.69.1.107:10280
CCTV15,http://www.furymax.top:85/rtp/239.69.1.155:10566
CCTV16,http://www.furymax.top:85/rtp/239.69.1.247:11124
CCTV16,http://www.furymax.top:85/rtp/239.69.1.249:11136
CCTV17,http://www.furymax.top:85/rtp/239.69.1.152:10548
CHC高清电影,http://www.furymax.top:85/rtp/239.69.1.241:11088
CHC动作电影,http://www.furymax.top:85/rtp/239.69.1.242:11094
CHC家庭影院,http://www.furymax.top:85/rtp/239.69.1.243:11100
第一剧场,http://www.furymax.top:85/rtp/239.69.1.74:10084
风云剧场,http://office365.myddns.me:8686/udp/225.1.2.174:5002
风云音乐,http://office365.myddns.me:8686/udp/225.1.2.176:5002
风云足球,http://office365.myddns.me:8686/udp/225.1.2.168:5002
央视台球,http://www.furymax.top:85/rtp/239.69.1.98:10224
高尔夫网球,http://www.furymax.top:85/rtp/239.69.1.83:10138
女性时尚,http://office365.myddns.me:8686/udp/225.1.2.172:5002
兵器科技,http://www.furymax.top:85/rtp/239.69.1.79:10114
世界地理,http://www.furymax.top:85/rtp/239.69.1.91:10186
央视文化精品,http://office365.myddns.me:8686/udp/225.1.2.177:5002

湖北卫视,http://www.furymax.top:85/rtp/239.254.96.115:8664
湖北影视,http://www.furymax.top:85/rtp/239.69.1.204:10866
武汉电视剧,http://www.furymax.top:85/rtp/239.69.1.146:10512
湖南卫视,http://www.furymax.top:85/rtp/239.254.96.139:8908
金鹰卡通,http://www.furymax.top:85/rtp/239.69.1.248:11130
金鹰纪实,http://www.furymax.top:85/rtp/239.69.1.109:10292
茶频道,http://www.furymax.top:85/rtp/239.69.1.144:10500
浙江卫视,http://www.furymax.top:85/rtp/239.254.96.143:8932
江苏卫视,http://www.furymax.top:85/rtp/239.254.96.144:8938
东方卫视,http://www.furymax.top:85/rtp/239.254.96.142:8926
北京卫视,http://www.furymax.top:85/rtp/239.254.96.141:8920
卡酷少儿,http://www.furymax.top:85/rtp/239.69.1.193:10800
中国教育1,http://www.furymax.top:85/rtp/239.69.1.110:10298
广东卫视,http://www.furymax.top:85/rtp/239.254.96.140:8914
深圳卫视,http://www.furymax.top:85/rtp/239.254.96.137:8896
黑龙江卫视,http://www.furymax.top:85/rtp/239.254.96.138:8902
天津卫视,http://www.furymax.top:85/rtp/239.69.1.68:10048
山东卫视,http://www.furymax.top:85/rtp/239.69.1.69:10054
安徽卫视,http://www.furymax.top:85/rtp/239.69.1.70:10060
辽宁卫视,http://www.furymax.top:85/rtp/239.69.1.71:10066
东南卫视,http://www.furymax.top:85/rtp/239.69.1.108:10286
江西卫视,http://www.furymax.top:85/rtp/239.69.1.126:10394
东方卫视,http://www.furymax.top:85/rtp/239.69.1.173:10674
江苏卫视,http://www.furymax.top:85/rtp/239.69.1.174:10680
重庆卫视,http://www.furymax.top:85/rtp/239.69.1.149:10530
贵州卫视,http://www.furymax.top:85/rtp/239.69.1.150:10536
河南卫视,http://www.furymax.top:85/rtp/239.69.1.168:10644
梨园,http://www.furymax.top:85/rtp/239.69.1.33:9838
文物宝库,http://www.furymax.top:85/rtp/239.69.1.46:9916
武术世界,http://www.furymax.top:85/rtp/239.69.1.47:9922
四川卫视,http://www.furymax.top:85/rtp/239.69.1.169:10650
河北卫视,http://www.furymax.top:85/rtp/239.69.1.157:10578
