央视频道,#genre#
CCTV-1,https://cntv.sbs/v6?auth=2307280808&id=022
CCTV-2,https://cntv.sbs/v6?auth=2307280808&id=220
CCTV-3,https://cntv.sbs/v6?auth=2307280808&id=186
CCTV-4,https://cntv.sbs/v6?auth=2307280808&id=221
CCTV-5,https://cntv.sbs/v6?auth=2307280808&id=187
CCTV-5+,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-6,https://cntv.sbs/v6?auth=2307280808&id=188
CCTV-7,https://cntv.sbs/v6?auth=2307280808&id=236
CCTV-8,https://cntv.sbs/v6?auth=2307280808&id=189
CCTV-9,https://cntv.sbs/v6?auth=2307280808&id=237
CCTV-10,https://cntv.sbs/v6?auth=2307280808&id=238
CCTV-11,https://cntv.sbs/v6?auth=2307280808&id=309
CCTV-12,https://cntv.sbs/v6?auth=2307280808&id=239
CCTV-13,https://cntv.sbs/v6?auth=2307280808&id=328
CCTV-14,https://cntv.sbs/v6?auth=2307280808&id=240
CCTV-15,https://cntv.sbs/v6?auth=2307280808&id=338
CCTV-16,https://cntv.sbs/v6?auth=2307280808&id=258
CCTV-17,https://cntv.sbs/v6?auth=2307280808&id=241
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
世界地理,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
文化精品,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
央视台球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
央视高网,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
风云剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
第一剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
女性时尚,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
风云足球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
电视指南,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8

卫视,#genre#
北京卫视,https://cntv.sbs/v6?auth=2307280808&id=029
湖南卫视,https://cntv.sbs/v6?auth=2307280808&id=026
东方卫视,https://cntv.sbs/v6?auth=2307280808&id=013
上海都市,https://cntv.sbs/v6?auth=2307280808&id=015
纪实人文,https://cntv.sbs/v6?auth=2307280808&id=019
生活时尚,https://cntv.sbs/v6?auth=2307280808&id=199
五星体育,https://cntv.sbs/v6?auth=2307280808&id=018
东方影视,https://cntv.sbs/v6?auth=2307280808&id=016
欢笑剧场,https://cntv.sbs/v6?auth=2307280808&id=193
法治天地,https://cntv.sbs/v6?auth=2307280808&id=195
乐游,https://cntv.sbs/v6?auth=2307280808&id=200
都市剧场,https://cntv.sbs/v6?auth=2307280808&id=203
金色学堂,https://cntv.sbs/v6?auth=2307280808&id=194
四川卫视,https://cntv.sbs/v6?auth=2307280808&id=130
天津卫视,https://cntv.sbs/v6?auth=2307280808&id=036
安徽卫视,https://cntv.sbs/v6?auth=2307280808&id=037
山东卫视,https://cntv.sbs/v6?auth=2307280808&id=028
广东卫视,https://cntv.sbs/v6?auth=2307280808&id=032
广东影视,http://60.208.16.27:1505/gudou.php?id=364&id=1458_4500
广东4K,http://60.208.16.27:1505/gudou.php?id=364&id=GDZYHD4K_38000
广东体育HD,http://60.208.16.27:1505/gudou.php?id=364&id=1413_4500
广东少儿,http://60.208.16.27:1505/gudou.php?id=364&id=1457
嘉佳卡通,http://60.208.16.27:1505/gudou.php?id=364&id=1459
广西卫视,https://cntv.sbs/v6?auth=2307280808&id=224
江苏卫视,https://cntv.sbs/v6?auth=2307280808&id=033
江西卫视,https://cntv.sbs/v6?auth=2307280808&id=034
河北卫视,https://cntv.sbs/v6?auth=2307280808&id=229
河南卫视,https://cntv.sbs/v6?auth=2307280808&id=222
梨园频道,http://60.208.16.27:1505/gudou.php?id=364&id=1937
武术世界,http://60.208.16.27:1505/gudou.php?id=364&id=1938
浙江卫视,https://cntv.sbs/v6?auth=2307280808&id=023
海南卫视,https://cntv.sbs/v6?auth=2307280808&id=183
